setting,spatial_unit_id,department_id,predictor_week,target_week,outcome,full_model_probability,no_climate_probability,prediction_state
Colombia,COL.1.3_2,1.0,2022-03-27,,1,0.5212959914612725,0.4664140322361939,raw
Colombia,COL.1.3_2,1.0,2022-04-03,,1,0.3327623758493183,0.310701827069134,raw
Colombia,COL.1.5_2,1.0,2020-01-05,,1,0.5418985184490374,0.4618518792803038,raw
Colombia,COL.1.5_2,1.0,2020-01-12,,1,0.4798252655755262,0.3916236263801357,raw
Colombia,COL.1.5_2,1.0,2020-01-19,,0,0.4700624899349319,0.3882575775827168,raw
Colombia,COL.1.5_2,1.0,2020-01-26,,1,0.4134873621435213,0.3449910950464354,raw
Colombia,COL.1.5_2,1.0,2020-02-02,,0,0.495482389626632,0.4161773914242964,raw
Colombia,COL.1.5_2,1.0,2020-02-09,,0,0.5220891263563519,0.461089946871132,raw
Colombia,COL.1.5_2,1.0,2020-02-16,,0,0.4589347929168123,0.3948343990083107,raw
Colombia,COL.1.5_2,1.0,2020-02-23,,0,0.4793087256753588,0.4138125581201456,raw
Colombia,COL.1.5_2,1.0,2020-03-01,,0,0.3964026051494626,0.3224898916670672,raw
Colombia,COL.1.5_2,1.0,2020-03-08,,0,0.4146114182779479,0.3677001183282428,raw
Colombia,COL.1.5_2,1.0,2020-03-22,,0,0.3241295301457388,0.2910380987756157,raw
Colombia,COL.1.5_2,1.0,2020-03-29,,0,0.329218975418878,0.3043373026896494,raw
Colombia,COL.1.5_2,1.0,2020-04-05,,0,0.3214697311841146,0.2998464243118464,raw
Colombia,COL.1.5_2,1.0,2020-10-18,,0,0.2001212024092052,0.2045893540884865,raw
Colombia,COL.1.5_2,1.0,2020-10-25,,0,0.1847444196377229,0.1828959264012906,raw
Colombia,COL.1.5_2,1.0,2020-11-01,,0,0.3001790312691044,0.2938196555771692,raw
Colombia,COL.1.5_2,1.0,2020-11-08,,0,0.2756039837506918,0.2605055579020465,raw
Colombia,COL.1.5_2,1.0,2020-11-15,,0,0.2002564062530678,0.1854701848262178,raw
Colombia,COL.1.5_2,1.0,2020-11-22,,0,0.2197592938721451,0.1996919846054608,raw
Colombia,COL.1.5_2,1.0,2020-11-29,,0,0.3060409515554638,0.260984693107845,raw
Colombia,COL.1.5_2,1.0,2020-12-06,,0,0.3080931879409862,0.2524035682591525,raw
Colombia,COL.1.5_2,1.0,2020-12-13,,0,0.3102624524517118,0.2541521194656372,raw
Colombia,COL.1.5_2,1.0,2020-12-20,,0,0.3429931281362289,0.2801559502055609,raw
Colombia,COL.1.5_2,1.0,2020-12-27,,0,0.2705734406567663,0.2137611956405413,raw
Colombia,COL.1.5_2,1.0,2021-01-03,,0,0.4007002573867518,0.3196842961153163,raw
Colombia,COL.1.5_2,1.0,2021-01-10,,0,0.3274328065225863,0.2607946541051417,raw
Colombia,COL.1.5_2,1.0,2021-01-17,,0,0.2382942985018704,0.178488717608946,raw
Colombia,COL.1.5_2,1.0,2021-01-24,,0,0.2309475037294468,0.1763594089219651,raw
Colombia,COL.1.5_2,1.0,2021-01-31,,1,0.3290285270167316,0.2517130622305883,raw
Colombia,COL.1.5_2,1.0,2021-02-07,,0,0.3278285592157972,0.2692054188207206,raw
Colombia,COL.1.5_2,1.0,2021-02-14,,0,0.33441349622502,0.2831640370652437,raw
Colombia,COL.1.5_2,1.0,2021-02-21,,0,0.3676305293386137,0.3101022924143772,raw
Colombia,COL.1.5_2,1.0,2021-02-28,,1,0.4831833121812829,0.4272583942454904,raw
Colombia,COL.1.5_2,1.0,2021-03-07,,0,0.5588577424794279,0.4933564060422793,raw
Colombia,COL.1.5_2,1.0,2021-03-14,,0,0.4758155778231549,0.4259801376772054,raw
Colombia,COL.1.5_2,1.0,2021-03-21,,0,0.4615260468809706,0.4173813911895403,raw
Colombia,COL.1.5_2,1.0,2021-03-28,,1,0.4733348167907108,0.4287207086639941,raw
Colombia,COL.1.5_2,1.0,2021-04-04,,1,0.4388171041207773,0.4042875311796202,raw
Colombia,COL.1.5_2,1.0,2021-04-11,,0,0.3675062987590906,0.3474803738278983,raw
Colombia,COL.1.5_2,1.0,2021-04-18,,0,0.3446402948211049,0.3394180104456933,raw
Colombia,COL.1.5_2,1.0,2021-04-25,,1,0.3810146951234174,0.3725850708205381,raw
Colombia,COL.1.5_2,1.0,2021-05-02,,0,0.4505245390622318,0.4506990390279737,raw
Colombia,COL.1.5_2,1.0,2021-05-09,,0,0.468315710492434,0.4648895413051145,raw
Colombia,COL.1.5_2,1.0,2021-05-16,,0,0.3240791245122711,0.323111157554526,raw
Colombia,COL.1.5_2,1.0,2021-05-23,,0,0.3292132197749738,0.3554770811756977,raw
Colombia,COL.1.5_2,1.0,2021-05-30,,0,0.2930356448197748,0.2997510854602673,raw
Colombia,COL.1.5_2,1.0,2021-06-06,,0,0.1769612625401417,0.1846362942804018,raw
Colombia,COL.1.5_2,1.0,2021-06-13,,0,0.3093107968532679,0.3111283797703142,raw
Colombia,COL.1.5_2,1.0,2021-06-20,,0,0.2613711192515212,0.2755370290981878,raw
Colombia,COL.1.5_2,1.0,2021-06-27,,0,0.281889209961439,0.2651663679847089,raw
Colombia,COL.1.5_2,1.0,2021-07-04,,0,0.3867041030959539,0.3744660397065459,raw
Colombia,COL.1.5_2,1.0,2021-07-11,,1,0.3318218459274829,0.3114841204875492,raw
Colombia,COL.1.5_2,1.0,2021-07-18,,0,0.2728403339763406,0.2522776703545406,raw
Colombia,COL.1.5_2,1.0,2021-07-25,,0,0.2123868980863289,0.2059028979230542,raw
Colombia,COL.1.5_2,1.0,2021-08-01,,0,0.188960257703052,0.1983801991621908,raw
Colombia,COL.1.5_2,1.0,2021-08-08,,0,0.2635453432882471,0.2937095477291025,raw
Colombia,COL.1.5_2,1.0,2021-08-15,,0,0.2457418763145677,0.2684605993473598,raw
Colombia,COL.1.5_2,1.0,2021-08-22,,0,0.2384536683586504,0.2782977257182438,raw
Colombia,COL.1.5_2,1.0,2021-08-29,,0,0.2482516108897301,0.2664581697195866,raw
Colombia,COL.1.5_2,1.0,2021-09-05,,0,0.1907704857140595,0.2026466073007622,raw
Colombia,COL.1.5_2,1.0,2021-09-12,,0,0.2270357988255716,0.2342912018346781,raw
Colombia,COL.1.5_2,1.0,2021-09-19,,0,0.2337383599440094,0.2430565544215427,raw
Colombia,COL.1.5_2,1.0,2021-09-26,,0,0.243719786570066,0.2479061006497418,raw
Colombia,COL.1.5_2,1.0,2021-10-03,,0,0.2962676702923066,0.300805087551186,raw
Colombia,COL.1.5_2,1.0,2021-10-10,,1,0.2506402846038512,0.2643396934031579,raw
Colombia,COL.1.5_2,1.0,2021-10-17,,0,0.2960526903624232,0.2863573149979493,raw
Colombia,COL.1.5_2,1.0,2021-10-24,,1,0.3032604608188009,0.302929747165218,raw
Colombia,COL.1.5_2,1.0,2021-10-31,,1,0.2933813714211952,0.2805824382323135,raw
Colombia,COL.1.5_2,1.0,2021-11-07,,1,0.390221655439782,0.3753982828616141,raw
Colombia,COL.1.5_2,1.0,2021-11-14,,1,0.3735867321531188,0.3472983034094611,raw
Colombia,COL.1.5_2,1.0,2021-11-21,,1,0.4107815896991416,0.3827390659340625,raw
Colombia,COL.1.5_2,1.0,2021-11-28,,0,0.5143649611241723,0.4719774210250142,raw
Colombia,COL.1.5_2,1.0,2021-12-05,,0,0.5329692589966857,0.4676460815629889,raw
Colombia,COL.1.5_2,1.0,2021-12-12,,1,0.517555439640396,0.4616916281971914,raw
Colombia,COL.1.5_2,1.0,2021-12-19,,1,0.4749493922476535,0.416043901410969,raw
Colombia,COL.1.5_2,1.0,2021-12-26,,1,0.3713821821807168,0.3068965844605645,raw
Colombia,COL.1.5_2,1.0,2022-01-02,,1,0.3853085593084124,0.3155928330267017,raw
Colombia,COL.1.5_2,1.0,2022-01-09,,1,0.4358457610101203,0.3704168683571906,raw
Colombia,COL.1.5_2,1.0,2022-01-16,,0,0.476349481454106,0.3866819273629148,raw
Colombia,COL.1.5_2,1.0,2022-01-23,,1,0.5488872941749219,0.4681846527848862,raw
Colombia,COL.1.5_2,1.0,2022-01-30,,1,0.5640124593752295,0.4820181209790123,raw
Colombia,COL.1.5_2,1.0,2022-02-06,,1,0.5457531242083691,0.4455946790559192,raw
Colombia,COL.1.5_2,1.0,2022-02-13,,1,0.5177675086509238,0.4110828102497158,raw
Colombia,COL.1.5_2,1.0,2022-02-20,,0,0.5004641643740002,0.3943166880946364,raw
Colombia,COL.1.5_2,1.0,2022-02-27,,1,0.5467499016527946,0.4393725951731436,raw
Colombia,COL.1.5_2,1.0,2022-03-06,,0,0.5374461559588336,0.4421791591479995,raw
Colombia,COL.1.5_2,1.0,2022-03-13,,0,0.5576073916138983,0.4815681650154178,raw
Colombia,COL.1.5_2,1.0,2022-03-20,,1,0.4669016150438086,0.3930035771972862,raw
Colombia,COL.1.5_2,1.0,2022-03-27,,0,0.4684974371732194,0.401664041134991,raw
Colombia,COL.1.5_2,1.0,2022-04-03,,0,0.4032170398385677,0.3745001475992588,raw
Colombia,COL.1.5_2,1.0,2022-04-10,,1,0.3382011397477642,0.3215123573926597,raw
Colombia,COL.1.5_2,1.0,2022-04-17,,0,0.4304328921358626,0.4213133090630247,raw
Colombia,COL.1.5_2,1.0,2022-04-24,,1,0.37900808801643,0.3865116608738451,raw
Colombia,COL.1.5_2,1.0,2022-05-01,,0,0.3907886152527491,0.4073210105527998,raw
Colombia,COL.1.5_2,1.0,2022-05-08,,1,0.4142528750295378,0.4440692437368581,raw
Colombia,COL.1.5_2,1.0,2022-05-15,,0,0.323036047882277,0.3288843534909125,raw
Colombia,COL.1.5_2,1.0,2022-05-22,,0,0.4254962496131696,0.4427795681103672,raw
