setting,delta_logit,matched_dNB,cond_ci_lo,cond_ci_hi,threshold,state,B,seed
Colombia,-1.0,0.008158,0.002217,0.014304,0.3,recal,1000,20260612
Colombia,-0.5,0.004245,-0.001537,0.00993,0.3,recal,1000,20260612
Colombia,-0.25,0.00943,0.004383,0.014428,0.3,recal,1000,20260612
Colombia,0.0,0.007827,0.003901,0.011936,0.3,recal,1000,20260612
Colombia,0.25,0.006576,0.003587,0.009668,0.3,recal,1000,20260612
Colombia,0.5,0.004437,0.0025,0.006673,0.3,recal,1000,20260612
Colombia,1.0,0.000364,-0.000103,0.000858,0.3,recal,1000,20260612
SriLanka,-1.0,0.019395,0.009387,0.03014,0.3,recal,1000,20260612
SriLanka,-0.5,0.004003,-0.003315,0.011681,0.3,recal,1000,20260612
SriLanka,-0.25,0.009461,0.000181,0.018813,0.3,recal,1000,20260612
SriLanka,0.0,0.015647,0.006546,0.025692,0.3,recal,1000,20260612
SriLanka,0.25,0.025107,0.011825,0.037844,0.3,recal,1000,20260612
SriLanka,0.5,0.033295,0.020265,0.046213,0.3,recal,1000,20260612
SriLanka,1.0,0.028309,0.015316,0.041232,0.3,recal,1000,20260612
