setting,prediction_state,sample_size,event_count,cluster_count,bootstrap_replicates,bootstrap_failure_count,development_inclusive_status,analysis_commit,input_checksum_set,metric,full_model_estimate,no_climate_estimate,paired_difference,orientation,conditional_ci_lower,conditional_ci_upper,development_inclusive_ci_lower,development_inclusive_ci_upper,bootstrap_fraction_favoring_climate,IG_nats,IG_bits,BSS,clip_sensitivity_material,B1000_parity_ci
SriLanka,recal,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,NLL,0.5405849578750365,0.5612846377895793,-0.0206996799145428,lower_favors_climate,-0.0352481214658907,-0.0067866716118257,,,0.999,0.0206996799145428,0.0298633255606997,,False,"[-0.03506955521378396, -0.006041532644756754]"
SriLanka,recal,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,Brier,0.1786562043541923,0.1865344344939424,-0.00787823013975,lower_favors_climate,-0.012972298873324,-0.0031082951916027,,,1.0,,,0.0422347228334717,,"[-0.012817104257968715, -0.0030321747745087066]"
SriLanka,recal,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,AUC,0.7511644903456783,0.7237270084171097,0.0274374819285686,higher_favors_climate,0.0126225037555948,0.0453847109005527,,,,,,,,
SriLanka,recal,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,PR_AUC,0.6524483876779966,0.6362721454214402,0.0161762422565564,higher_favors_climate,-0.001714993604016,0.0359078222306167,,,,,,,,
SriLanka,raw,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,NLL,0.5405680895878487,0.56614950208679,-0.0255814124989413,lower_favors_climate,-0.0391196935360046,-0.0128335213895848,,,1.0,0.0255814124989413,0.0369061769511575,,False,"[-0.03800636751470013, -0.012317275022855869]"
SriLanka,raw,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,Brier,0.1800870096054135,0.1907549425196599,-0.0106679329142463,lower_favors_climate,-0.0156100402023015,-0.0060820251014831,,,1.0,,,0.0559248047433785,,"[-0.015394104498549254, -0.0058545174615882165]"
SriLanka,raw,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,AUC,0.7715108515767006,0.7512932243211317,0.0202176272555689,higher_favors_climate,0.0028344248110956,0.0399750351745547,,,,,,,,
SriLanka,raw,3926,1321,26,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,b4eb932b19654f8790963d74589a472acdcc8d745709708410ab769aaebb4abd,PR_AUC,0.6673934971609026,0.6514768660701834,0.0159166310907191,higher_favors_climate,-0.0066510989469223,0.0421637065679855,,,,,,,,
Colombia,recal,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,NLL,0.6161648146742598,0.6251084691482117,-0.0089436544739519,lower_favors_climate,-0.0168301321002437,-0.0010003486682087,,,0.984,0.0089436544739519,0.0129029659569948,,False,"[-0.016994422062764157, -0.0011504730113384377]"
Colombia,recal,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,Brier,0.212669811773412,0.2169430064243246,-0.0042731946509126,lower_favors_climate,-0.0077552058059506,-0.0008060590345249,,,0.9912,,,0.0196973146143029,,"[-0.007824508481394167, -0.0008909959184839685]"
Colombia,recal,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,AUC,0.7254819772649461,0.7133704565670351,0.0121115206979109,higher_favors_climate,0.0018155902483276,0.0226700951095487,,,,,,,,
Colombia,recal,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,PR_AUC,0.6077584032376322,0.5967098321157194,0.0110485711219128,higher_favors_climate,-0.0022981340819397,0.025515969446597,,,,,,,,
Colombia,raw,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,NLL,0.597125970668633,0.6056684976998086,-0.0085425270311755,lower_favors_climate,-0.013834651850033,-0.0029421937042414,,,0.9994,0.0085425270311755,0.0123242613845368,,False,"[-0.014227488811458206, -0.0028533673311135085]"
Colombia,raw,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,Brier,0.2053295737901937,0.2089736139123211,-0.0036440401221274,lower_favors_climate,-0.00591054446266,-0.0012607312067243,,,0.9994,,,0.0174378001791957,,"[-0.005989358045473164, -0.0011784028118119615]"
Colombia,raw,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,AUC,0.7254819772649461,0.7133704565670351,0.0121115206979109,higher_favors_climate,0.0018155902483276,0.0226700951095487,,,,,,,,
Colombia,raw,13361,5015,475,5000,0,NOT_COMPUTED (Phase1 gate),5bc73adfeec1,cf9dbe1537868f4449f4154d49d9390a8c6cefe98a92291a0f5680c7feb5b3bc,PR_AUC,0.6077584032376322,0.5967098321157194,0.0110485711219128,higher_favors_climate,-0.0022981340819397,0.025515969446597,,,,,,,,
