yr,n,cc,frac
2006,69.0,0.0,0.0
2007,4137.0,2291.0,0.5537829344935944
2008,5656.0,3294.0,0.5823903818953324
2009,5229.0,3108.0,0.5943775100401606
2010,10535.0,6834.0,0.6486948267679165
2011,5002.0,2852.0,0.570171931227509
2012,7408.0,4284.0,0.57829373650108
2013,13655.0,8956.0,0.6558769681435371
2014,11140.0,7232.0,0.6491921005385997
2015,10606.0,6890.0,0.6496322836130493
2016,8891.0,5660.0,0.6365988077831515
2017,4373.0,2310.0,0.5282414818202606
2018,6391.0,3880.0,0.6071037396338601
2019,12965.0,8833.0,0.6812957963748554
2020,8212.0,5328.0,0.6488066244520214
2021,5817.0,3231.0,0.555440948942754
2022,7617.0,4802.0,0.6304319285808061
