line,term,excerpt,classification
52,matched,"e for dengue alerting: a matched-baseline, decision-curve reanalysis i",correct
74,M4-M1,w predictions $\Delta$NB(M4$-$M1) $=-0.008$ (95\% CI $-0.028$ to $+0.0,correct
74,+0.0157,"$, including zero) and $+0.0157$ after past-only recalibration of both",correct-recal-matched
74,matched, sensitivity (three-week matched $+0.0049$); its robustness to period ,correct
74,matched,A post hoc specification-matched decomposition in Sri Lanka (frozen pi,correct
74,matched,ly recalibration of both matched models (95\% CI $+0.0066$ to $+0.0257,correct
74,design-locked,"ecision metrics, and the design-locked primary hybrid contrast in Sri ",historical-ladder-only(check)
74,post hoc,erval to include zero. A post hoc specification-matched decomposition ,correct
76,+0.0157,"st-only recalibration ($+0.0157$, and then only marginally, resting on",correct-recal-matched
76,matched, non-climate structure unmatched can overstate the decision value of c,correct
76,matched,"nst recent surveillance, matched for structure, and judged by calibrat",correct
76,matched,"ne value. A structurally matched decomposition gave a small, consisten",correct
76,matched,nitude; in Sri Lanka the matched increment separates from zero only af,correct
76,matched,"ng), and in Colombia the matched increment includes zero once model-de",correct
90,matched,---using a specification-matched baseline to separate any climate cont,correct
90,matched,inely novel piece is the matched-baseline attribution separating any c,correct
113,matched,---see the specification-matched decompositions); M2 a climate-only mo,correct
115,prespecif,ion were checked against prespecified stop rules (no stop triggered). ,historical-ladder-only(check)
118,prespecif,ere also evaluated under prespecified minimum-sample and convergence r,historical-ladder-only(check)
118,prespecif,k was required under the prespecified recalibration rules. This rollin,historical-ladder-only(check)
118,post hoc,re produced only for the post hoc recalibration sensitivity (Figs~\ref,correct
128,M5-M1,"d sensitivity model. The M5$-$M1 threshold, horizon and train-defined ",correct
128,design-locked, project repository: the design-lock specification designating M4 as t,historical-ladder-only(check)
128,design-locked,t results predating this design-lock. No prospective public registrati,historical-ladder-only(check)
132,M4-M1,"ontrast is the Sri Lanka M4$-$M1 net benefit at $p^*=0.30$ ($h=4$, 75t",correct
132,post hoc,"condary, sensitivity, or post hoc.}",correct
138,M4-M1,"Sri Lanka M4$-$M1 ($h=4$, 75th pct, $p^*=0.30$) & Plann",correct
139,M5-M1,Sri Lanka M5$-$M1 & Pre-computation expanded sensitivit,correct
140,matched,5$_{\text{no-climate}}$ (matched) & Post hoc specification diagnostic ,correct
141,M5-M1,Colombia M5$-$M1 & Secondary compound contrast \\,correct
142,matched,5$_{\text{no-climate}}$ (matched) & Post hoc specification diagnostic ,correct
148,matched,*{Post hoc specification-matched decomposition (Colombia)},correct
149,M5-M1,ecting that the Colombia M5$-$M1 contrast was structurally unmatched--,correct-unmatched-labeled
149,matched,"trast was structurally unmatched---M5 contains climate, seasonal terms",correct
149,matched,a post hoc specification-matched decomposition. We defined a matched b,correct
149,matched,"omposition. We defined a matched baseline, M5$_{\text{no-climate}}$, c",correct
149,post hoc,-case terms---we added a post hoc specification-matched decomposition.,correct
149,post hoc,puted. This analysis was post hoc and is reported as a specification-m,correct
153,matched,"e Colombia specification-matched decomposition contrasts, all at $h=4$",correct
159,M4-M1,M4$-$M1 & Does climate improve on cases alone,correct
162,M5-M1,M5$-$M1 & What is the total gain from the ful,correct
168,matched,hy and the specification-matched climate contrast},correct
169,matched,The specification-matched climate comparison contrasts the full,correct
169,design-locked,"not part of the original design-locked model ladder in either setting,",historical-ladder-only(check)
169,prespecif,y analysis rather than a prespecified confirmatory estimand.,historical-ladder-only(check)
169,post hoc,composition was reported post hoc for Colombia in the original submiss,correct
169,post hoc,"ing, it is reported as a post hoc, exploratory analysis rather than a ",correct
171,M4-M1,The prespecified M4$-$M1 comparison is retained for transparen,correct
171,design-locked,ed for transparency as a design-locked secondary analysis. Because M4 ,historical-ladder-only(check)
171,prespecif,The prespecified M4$-$M1 comparison is retained f,historical-ladder-only(check)
173,M5-M1,ate}}$ contrast. Neither M5$-$M1 nor M4$-$M1 is described as a matched,correct-unmatched-labeled
173,M5-M1,"dels are non-nested, and M5$-$M1 because the frozen M1 was fit under a",correct-unmatched-labeled
173,M4-M1,ast. Neither M5$-$M1 nor M4$-$M1 is described as a matched climate com,correct
173,M4-M1,"hed climate comparison---M4$-$M1 because the models are non-nested, an",correct
173,matched,ely on the specification-matched M5$-$M5$_{\text{no-climate}}$ contras,correct
173,matched,4$-$M1 is described as a matched climate comparison---M4$-$M1 because ,correct
173,matched, so is not specification-matched despite sharing the same structural t,correct
173,matched,ot to the revision-stage matched estimand.,correct
173,prespecif, terms. Any reference to prespecification or design locking applies on,historical-ladder-only(check)
175,post hoc,\subsection{Additional post hoc analyses (methods)},correct
176,matched,the primary compound and matched estimates were reproduced exactly (to,correct
176,matched,esholds (Colombia)}: the matched contrast re-evaluated on subsets of t,correct
176,matched,latt recalibration); the matched and compound contrasts are reported p,correct
176,matched,e fitted primary model's matched increment computed within each depart,correct
176,matched, (v) \emph{Horizon}: the matched and compound contrasts recomputed for,correct
176,post hoc,"e reported in Results as post hoc sensitivity, selection, and validati",correct
243,M5-M1,(M4$-$M1) and $\Delta$NB(M5$-$M1) are internally consistent raw-vs-raw,correct
243,M4-M1,the Sri Lanka $\Delta$NB(M4$-$M1) and $\Delta$NB(M5$-$M1) are internal,correct
263,M5-M1,".652, 0.191, 0.137); the M5$-$M1 net-benefit estimate at $p^*=0.30$ wa",correct
263,M5-M1,"ffects, so the Sri Lanka M5$-$M1 contrast is closer to a climate-speci",correct-unmatched-labeled
263,M5-M1,"than Colombia's compound M5$-$M1; however, because the frozen M1 was f",correct-unmatched-labeled
263,M5-M1,"R-only standardization), M5$-$M1 is not specification-matched. To isol",correct-unmatched-labeled
263,M5-M1,frozen-pipeline contrast M5$-$M1 ($+0.0081$) and the specification-mat,correct-unmatched-labeled
263,M5-M1,"e not identical fits, so M5$-$M1 is reported as the frozen-pipeline co",correct-unmatched-labeled
